,BERT_LogReg,BERT_RNN,BERT_DNN,BERT_Finetuned,BERT_Finetuned_MentalBERT,MentalBERT_ZeroShot,RoBERTa_Finetuned_MentalRoBERTa
accuracy,0.7498333333333334,0.7465,0.7215,0.8763333333333333,0.8748333333333334,0.222,0.8755
macro_f1,0.5484976119129774,0.556265259061426,0.5368835821940952,0.7051542259979616,0.6897501118943582,0.05742423889529855,0.6900709896891992
weighted_f1,0.7875689721167418,0.7852610895626115,0.7687639716526189,0.8973356504250272,0.8981294608881658,0.1840911094115664,0.9003151830915452
precision,0.49135920204920003,0.5024272410399844,0.48368473251938726,0.651751621209087,0.6321528233306465,0.08816194447124803,0.6350245286115469
recall,0.7591319856513392,0.772474748870028,0.7715654452669665,0.8809296545017297,0.8864355239997892,0.11609676356483448,0.8843946485254903
class_f1,"[0.7276995305164319, 0.4295774647887324, 0.2608695652173913, 0.7183098591549296, 0.5204991087344029, 0.7798827244023455, 0.13157894736842105, 0.8936170212765957, 0.16901408450704225, 0.853927813163482]","[0.63671875, 0.4110429447852761, 0.35555555555555557, 0.807909604519774, 0.5137931034482759, 0.7879991175821751, 0.15950920245398773, 0.898936170212766, 0.1518324607329843, 0.8393556813234654]","[0.7355769230769231, 0.4377358490566038, 0.1752136752136752, 0.7242990654205608, 0.5401174168297456, 0.7858572381587725, 0.1511627906976744, 0.8391959798994975, 0.17297297297297298, 0.8067039106145252]","[0.9512893982808023, 0.7861271676300579, 0.5625, 0.927536231884058, 0.6794055201698513, 0.8803271631510977, 0.16129032258064516, 0.831353919239905, 0.3166023166023166, 0.9551102204408818]","[0.9570200573065902, 0.5208333333333334, 0.3724696356275304, 0.8818897637795275, 0.7301587301587301, 0.8876936316695353, 0.16243654822335024, 0.9801699716713881, 0.4563758389261745, 0.9484536082474226]","[0.032467532467532464, 0.041237113402061855, 0.011494252873563218, 0.008771929824561403, 0.0, 0.0015661707126076742, 0.018518518518518517, 0.0, 0.03495630461922597, 0.42523056653491437]","[0.9627507163323782, 0.6425339366515838, 0.32967032967032966, 0.8707124010554089, 0.7607655502392344, 0.8914017495199488, 0.15706806282722513, 0.952112676056338, 0.38497652582159625, 0.9487179487179487]"
class_recall,"[0.8857142857142857, 0.7625, 0.6545454545454545, 0.8895348837209303, 0.874251497005988, 0.6783052177324441, 0.5, 0.96, 0.6, 0.7864685177942902]","[0.9314285714285714, 0.8375, 0.5818181818181818, 0.8313953488372093, 0.8922155688622755, 0.70066692820714, 0.65, 0.9657142857142857, 0.58, 0.7540086038326164]","[0.8742857142857143, 0.725, 0.7454545454545455, 0.9011627906976745, 0.8263473053892215, 0.6932130247155748, 0.65, 0.9542857142857143, 0.64, 0.7059053578412202]","[0.9485714285714286, 0.85, 0.8181818181818182, 0.9302325581395349, 0.9580838323353293, 0.8022754021184778, 0.75, 1.0, 0.82, 0.9319515056707078]","[0.9542857142857143, 0.9375, 0.8363636363636363, 0.9767441860465116, 0.9640718562874252, 0.8093369948999608, 0.8, 0.9885714285714285, 0.68, 0.9174814235432147]","[0.02857142857142857, 0.15, 0.09090909090909091, 0.005813953488372093, 0.0, 0.0007846214201647705, 0.1, 0.0, 0.28, 0.5048885412592883]","[0.96, 0.8875, 0.8181818181818182, 0.9593023255813954, 0.9520958083832335, 0.8195370733621028, 0.75, 0.9657142857142857, 0.82, 0.9116151740320688]"
class_precision,"[0.6175298804780877, 0.29901960784313725, 0.16289592760180996, 0.6023622047244095, 0.37055837563451777, 0.9172413793103448, 0.07575757575757576, 0.835820895522388, 0.09836065573770492, 0.9340455178820251]","[0.4836795252225519, 0.27235772357723576, 0.256, 0.7857142857142857, 0.36077481840193704, 0.9002016129032258, 0.09090909090909091, 0.8407960199004975, 0.08734939759036145, 0.9464899361806578]","[0.6348547717842323, 0.31351351351351353, 0.09927360774818401, 0.60546875, 0.4011627906976744, 0.9070841889117043, 0.08552631578947369, 0.7488789237668162, 0.1, 0.9410844629822732]","[0.9540229885057471, 0.7311827956989247, 0.42857142857142855, 0.9248554913294798, 0.5263157894736842, 0.9752026704816404, 0.09036144578313253, 0.7113821138211383, 0.19617224880382775, 0.979449239621866]","[0.9597701149425287, 0.3605769230769231, 0.23958333333333334, 0.8038277511961722, 0.5875912408759124, 0.9828489757027156, 0.0903954802259887, 0.9719101123595506, 0.3434343434343434, 0.9815899581589959]","[0.03759398496240601, 0.02390438247011952, 0.006134969325153374, 0.017857142857142856, 0.0, 0.4, 0.01020408163265306, 0.0, 0.018641810918774968, 0.36728307254623044]","[0.9655172413793104, 0.5035460992907801, 0.20642201834862386, 0.7971014492753623, 0.6334661354581673, 0.9770813844714686, 0.08771929824561403, 0.9388888888888889, 0.25153374233128833, 0.9889690284259652]"
confusion,"[[ 155    1    0    3    4   10    0    0    2    0]
 [   0   61    5    0    0    1    2    1    5    5]
 [   0    4   36    0    0    2    1    0    8    4]
 [   0    1    0  153    5   11    0    1    1    0]
 [   2    0    0    5  146    9    0    5    0    0]
 [  84   62   52   85  217 1729   53   25  116  126]
 [   0    1    3    0    1    0   10    0    1    4]
 [   0    0    0    2    1    2    1  168    0    1]
 [   1    7    1    1    0    5    3    0   30    2]
 [   9   67  124    5   20  116   62    1  142 2011]]","[[ 163    1    0    1    4    5    0    0    1    0]
 [   0   67    1    0    0    3    2    1    5    1]
 [   0    7   32    0    0    4    1    0    8    3]
 [   3    0    0  143    8   16    1    1    0    0]
 [   4    0    0    2  149    7    0    5    0    0]
 [ 149   68   18   35  225 1786   44   22  102  100]
 [   0    1    0    0    0    0   13    1    3    2]
 [   1    0    0    0    3    1    0  169    0    1]
 [   1    8    0    0    1    5    4    0   29    2]
 [  16   94   74    1   23  157   78    2  184 1928]]","[[ 153    1    0    5    1   13    0    0    2    0]
 [   0   58   10    0    0    2    2    1    5    2]
 [   0    5   41    0    0    3    1    0    5    0]
 [   2    0    0  155    1   11    1    2    0    0]
 [   1    0    0    6  138    8    0   13    1    0]
 [  80   61   56   86  180 1767   60   34  118  107]
 [   0    0    2    0    0    0   13    1    1    3]
 [   1    0    0    2    3    1    0  167    0    1]
 [   0    8    4    0    0    4    2    0   32    0]
 [   4   52  300    2   21  139   73    5  156 1805]]","[[ 166    0    0    0    3    3    0    2    1    0]
 [   0   68    1    0    0    4    0    0    6    1]
 [   0    3   45    0    0    2    1    0    2    2]
 [   1    0    0  160    4    2    0    1    1    3]
 [   0    0    0    0  160    1    0    5    0    1]
 [   7   20   24   13  127 2045  103   62  108   40]
 [   0    0    0    0    1    0   15    0    2    2]
 [   0    0    0    0    0    0    0  175    0    0]
 [   0    0    1    0    0    5    2    0   41    1]
 [   0    2   34    0    9   35   45    1   48 2383]]","[[ 167    0    0    1    4    2    0    0    1    0]
 [   0   75    1    0    0    2    1    0    0    1]
 [   0    5   46    0    0    2    2    0    0    0]
 [   1    0    0  168    1    1    0    0    1    0]
 [   0    0    0    2  161    2    0    2    0    0]
 [   6   81   55   36  101 2063  110    3   53   41]
 [   0    0    2    0    0    0   16    0    0    2]
 [   0    0    0    0    1    0    1  173    0    0]
 [   0    8    3    0    0    3    2    0   34    0]
 [   0   39   85    2    6   24   45    0   10 2346]]","[[   5    3   80    0    1    1    1    0    1   83]
 [   2   12    6    1    0    0    3    0   33   23]
 [   0    6    5    0    0    0    1    0   23   20]
 [   3    0   30    1    0    0    0    0    2  136]
 [   1    1   51    0    0    0    0    0    0  114]
 [  89  148  409   45   18    2   11    0  155 1672]
 [   0    2    0    0    0    0    2    0    9    7]
 [   4    1   24    0    1    0    0    0    0  145]
 [   0    4    7    0    0    0    1    0   14   24]
 [  29  325  203    9    7    2  177    0  514 1291]]","[[ 168    0    0    0    4    1    0    0    1    1]
 [   0   71    1    0    0    2    1    0    4    1]
 [   0    4   45    0    0    2    1    0    2    1]
 [   1    0    0  165    2    2    0    1    1    0]
 [   0    0    0    2  159    5    0    1    0    0]
 [   4   51   88   37   78 2089   99    9   72   22]
 [   0    0    0    0    0    0   15    0    4    1]
 [   1    0    0    2    2    1    0  169    0    0]
 [   0    3    1    0    0    3    2    0   41    0]
 [   0   12   83    1    6   33   53    0   38 2331]]"
