,TFIDF_LogReg,TFIDF_SVM_GridCV,BERT_LogReg,BERT_RNN,BERT_DNN,BERT_Finetuned,BERT_Finetuned_MentalBERT,RoBERTa_Finetuned_MentalRoBERTa
accuracy,0.8236666666666667,0.8045,0.749,0.774,0.7698333333333334,0.8986666666666666,0.9001666666666667,0.9045
macro_f1,0.6698617677998643,0.6418026987491547,0.5480354234462198,0.5673598063966123,0.5816569688686795,0.7440875347368967,0.7253221814270663,0.7338943630831773
weighted_f1,0.8420100765624884,0.8263560648520842,0.7867093587602232,0.7975576688728012,0.7975482877458187,0.9087854099107784,0.9123243720837226,0.9157010864775331
precision,0.6067409352716084,0.5809133365487211,0.4905682188998547,0.502752851706159,0.5287532855770911,0.6792242260953634,0.6597218619188487,0.6616185287084344
recall,0.8207811094215008,0.8115700090148014,0.7589364440009676,0.7461843020309502,0.765244758487727,0.8673188905907242,0.8923147234519819,0.8922339827326227
class_f1,"[0.8924731182795699, 0.5737704918032787, 0.4406779661016949, 0.8632707774798928, 0.6697459584295612, 0.8471219310913968, 0.42424242424242425, 0.9285714285714286, 0.18831168831168832, 0.8704318936877077]","[0.9155313351498637, 0.5612648221343873, 0.38613861386138615, 0.8623376623376623, 0.6257928118393234, 0.8348472336911643, 0.2765957446808511, 0.9333333333333333, 0.17218543046357615, 0.85]","[0.7242990654205608, 0.43109540636042404, 0.26277372262773724, 0.7149532710280374, 0.5195729537366548, 0.7795311091073038, 0.13513513513513514, 0.8936170212765957, 0.16666666666666666, 0.8527098831030818]","[0.7446300715990454, 0.5, 0.3113207547169811, 0.774869109947644, 0.5308411214953271, 0.774803876326719, 0.20253164556962025, 0.7657657657657657, 0.1875, 0.8813357185450209]","[0.7667560321715817, 0.44, 0.3448275862068966, 0.8271954674220963, 0.42587601078167114, 0.7776531299080098, 0.2545454545454545, 0.8697916666666666, 0.23696682464454977, 0.8729575163398693]","[0.9488636363636364, 0.7164179104477612, 0.55, 0.8924731182795699, 0.6007462686567164, 0.908868501529052, 0.4067796610169492, 0.9529085872576177, 0.5142857142857142, 0.9495319495319495]","[0.9570200573065902, 0.6293103448275862, 0.4838709677419355, 0.8812664907651715, 0.7673860911270983, 0.8953314858239182, 0.2616822429906542, 0.9690140845070423, 0.4421052631578947, 0.9662347860227719]","[0.9388888888888889, 0.592, 0.44549763033175355, 0.8835978835978836, 0.7692307692307693, 0.919241862381541, 0.3783783783783784, 0.9392265193370166, 0.52, 0.952881698685541]"
class_recall,"[0.9485714285714286, 0.875, 0.7090909090909091, 0.936046511627907, 0.8682634730538922, 0.8054138877991369, 0.7, 0.9657142857142857, 0.58, 0.8197105983574501]","[0.96, 0.8875, 0.7090909090909091, 0.9651162790697675, 0.8862275449101796, 0.793252255786583, 0.65, 0.96, 0.52, 0.7845131012905749]","[0.8857142857142857, 0.7625, 0.6545454545454545, 0.8895348837209303, 0.874251497005988, 0.6783052177324441, 0.5, 0.96, 0.6, 0.7845131012905749]","[0.8914285714285715, 0.7625, 0.6, 0.8604651162790697, 0.8502994011976048, 0.6586896822283248, 0.4, 0.9714285714285714, 0.6, 0.8670316777473602]","[0.8171428571428572, 0.825, 0.5454545454545454, 0.8488372093023255, 0.9461077844311377, 0.6798744605727737, 0.7, 0.9542857142857143, 0.5, 0.8357450136879155]","[0.9542857142857143, 0.9, 0.8, 0.9651162790697675, 0.9640718562874252, 0.8744605727736368, 0.6, 0.9828571428571429, 0.72, 0.9123973406335549]","[0.9542857142857143, 0.9125, 0.8181818181818182, 0.9709302325581395, 0.9580838323353293, 0.8238524911730091, 0.7, 0.9828571428571429, 0.84, 0.9624560031286664]","[0.9657142857142857, 0.925, 0.8545454545454545, 0.9709302325581395, 0.9580838323353293, 0.8752451941938015, 0.7, 0.9714285714285714, 0.78, 0.9213922565506453]"
class_precision,"[0.8426395939086294, 0.4268292682926829, 0.319672131147541, 0.8009950248756219, 0.5451127819548872, 0.8933855526544822, 0.30434782608695654, 0.8941798941798942, 0.1124031007751938, 0.9278441788401948]","[0.875, 0.41040462427745666, 0.2653061224489796, 0.7793427230046949, 0.48366013071895425, 0.8810457516339869, 0.17567567567567569, 0.9081081081081082, 0.10317460317460317, 0.9274156264447526]","[0.6126482213438735, 0.30049261083743845, 0.1643835616438356, 0.59765625, 0.369620253164557, 0.9162692103868575, 0.078125, 0.835820895522388, 0.0967741935483871, 0.9338919925512105]","[0.639344262295082, 0.3719512195121951, 0.21019108280254778, 0.7047619047619048, 0.3858695652173913, 0.9406162464985994, 0.13559322033898305, 0.6319702602230484, 0.1111111111111111, 0.8961196443007275]","[0.7222222222222222, 0.3, 0.25210084033613445, 0.8066298342541437, 0.2747826086956522, 0.9082809224318659, 0.15555555555555556, 0.7990430622009569, 0.15527950310559005, 0.9136383069687901]","[0.943502824858757, 0.5950413223140496, 0.41904761904761906, 0.83, 0.4363143631436314, 0.9460950764006791, 0.3076923076923077, 0.9247311827956989, 0.4, 0.989817564700891]","[0.9597701149425287, 0.48026315789473684, 0.3435114503816794, 0.8067632850241546, 0.64, 0.9803921568627451, 0.16091954022988506, 0.9555555555555556, 0.3, 0.9700433582972015]","[0.9135135135135135, 0.43529411764705883, 0.30128205128205127, 0.8106796116504854, 0.642570281124498, 0.9678958785249457, 0.25925925925925924, 0.9090909090909091, 0.39, 0.9865996649916248]"
confusion,"[[ 166    1    0    0    0    8    0    0    0    0]
 [   0   70    2    0    0    3    0    0    5    0]
 [   0    3   39    0    0    3    0    0    5    5]
 [   1    0    0  161    1    9    0    0    0    0]
 [   0    0    0    0  145   17    0    3    1    1]
 [  24   45   17   34   98 2053   16   11   98  153]
 [   0    0    1    0    0    1   14    0    1    3]
 [   0    0    0    0    4    2    0  169    0    0]
 [   1    7    2    0    1    7    1    1   29    1]
 [   5   38   61    6   17  195   15    5  119 2096]]","[[ 168    1    0    0    1    5    0    0    0    0]
 [   0   71    1    0    0    4    0    0    4    0]
 [   0    5   39    0    0    3    0    0    5    3]
 [   1    0    0  166    0    4    0    0    1    0]
 [   0    0    0    0  148   14    0    4    0    1]
 [  18   44   25   42  131 2022   24   10   85  148]
 [   0    0    1    0    0    2   13    0    1    3]
 [   0    0    0    0    3    4    0  168    0    0]
 [   1    9    1    0    1    8    2    0   26    2]
 [   4   43   80    5   22  229   35    3  130 2006]]","[[ 155    1    0    3    4   10    0    0    2    0]
 [   0   61    5    0    0    2    1    1    5    5]
 [   0    4   36    0    0    2    1    0    8    4]
 [   0    1    0  153    5   11    0    1    1    0]
 [   2    0    0    5  146    9    0    5    0    0]
 [  86   62   51   87  217 1729   48   25  118  126]
 [   0    1    3    0    1    0   10    0    1    4]
 [   0    0    0    2    2    2    0  168    0    1]
 [   1    7    1    1    0    5    3    0   30    2]
 [   9   66  123    5   20  117   65    1  145 2006]]","[[ 156    1    0    4    6    5    0    1    1    1]
 [   0   61    5    0    0    1    2    1    4    6]
 [   0    6   33    0    0    4    1    0    5    6]
 [   1    0    0  148    4   15    1    3    0    0]
 [   1    0    0    5  142    7    0   12    0    0]
 [  79   56   30   51  199 1679   25   74  126  230]
 [   0    1    1    0    0    0    8    1    1    8]
 [   1    0    0    0    2    1    0  170    0    1]
 [   0    7    1    0    0    5    2    0   30    5]
 [   6   32   87    2   15   68   20    7  103 2217]]","[[ 143    1    0    3   17   10    0    1    0    0]
 [   0   66    2    0    0    3    3    0    3    3]
 [   0    8   30    0    0    3    2    0    5    7]
 [   3    0    0  146    9   12    1    1    0    0]
 [   0    0    0    0  158    4    0    5    0    0]
 [  47   71   12   31  356 1733   32   32   53  182]
 [   0    0    0    0    1    0   14    0    1    4]
 [   0    0    0    0    5    2    0  167    0    1]
 [   1    9    2    0    1    6    1    0   25    5]
 [   4   65   73    1   28  135   37    3   74 2137]]","[[ 167    0    0    0    4    4    0    0    0    0]
 [   0   72    0    0    0    5    0    0    2    1]
 [   0    5   44    0    0    4    0    0    1    1]
 [   1    0    0  166    4    0    0    0    1    0]
 [   0    0    0    1  161    1    0    3    0    1]
 [   7   21   15   31  179 2229   13   11   24   19]
 [   0    0    0    0    1    3   12    0    3    1]
 [   0    0    0    0    3    0    0  172    0    0]
 [   0    3    1    0    0    8    1    0   36    1]
 [   2   20   45    2   17  102   13    0   23 2333]]","[[ 167    1    0    1    3    2    0    0    1    0]
 [   0   73    2    0    0    2    0    0    2    1]
 [   0    6   45    0    0    1    0    0    2    1]
 [   1    0    0  167    1    2    0    0    1    0]
 [   0    0    0    2  160    2    0    3    0    0]
 [   5   59   56   36   79 2100   62    5   76   71]
 [   0    0    2    0    0    0   14    0    2    2]
 [   1    0    0    0    2    0    0  172    0    0]
 [   0    1    1    0    0    5    0    0   42    1]
 [   0   12   25    1    5   28   11    0   14 2461]]","[[ 169    0    0    0    3    3    0    0    0    0]
 [   0   74    0    0    0    3    0    0    2    1]
 [   0    5   47    0    0    3    0    0    0    0]
 [   1    0    0  167    1    1    0    1    1    0]
 [   0    0    0    1  160    3    0    3    0    0]
 [  13   55   41   36   77 2231   23   13   30   30]
 [   0    0    1    0    0    1   14    0    3    1]
 [   2    0    0    0    1    1    0  170    1    0]
 [   0    4    1    0    0    4    2    0   39    0]
 [   0   32   66    2    7   55   15    0   24 2356]]"
